reading_id,plant_id,reading_timestamp,mw_output,fuel_consumed_mscf,heat_rate_btu_kwh,load_factor_pct,frequency_hz,voltage_kv,status
RDG00000001,PLT001,2024-01-01 00:00:00,42.81,0.4043,9445.0,73.8,49.86,11.124,PARTIAL_LOAD
RDG00000002,PLT002,2024-01-01 00:00:00,0.0,0.0,0.0,0.0,50.1,10.672,OFFLINE
RDG00000003,PLT003,2024-01-01 00:00:00,19.34,0.191,9877.0,75.85,49.92,10.901,PARTIAL_LOAD
RDG00000004,PLT004,2024-01-01 00:00:00,25.83,0.2422,9375.0,78.28,50.13,11.054,PARTIAL_LOAD
RDG00000005,PLT005,2024-01-01 00:00:00,24.73,0.2272,9187.0,77.29,49.96,11.306,PARTIAL_LOAD
RDG00000006,PLT001,2024-01-01 03:00:00,45.45,0.436,9592.0,78.36,49.96,11.45,PARTIAL_LOAD
RDG00000007,PLT002,2024-01-01 03:00:00,23.55,0.2127,9030.0,75.96,50.01,11.333,PARTIAL_LOAD
RDG00000008,PLT003,2024-01-01 03:00:00,20.23,0.1974,9759.0,79.32,50.01,11.334,PARTIAL_LOAD
RDG00000009,PLT004,2024-01-01 03:00:00,28.47,0.2776,9750.0,86.27,49.99,10.646,PARTIAL_LOAD
RDG00000010,PLT005,2024-01-01 03:00:00,25.98,0.2435,9372.0,81.2,50.01,11.068,PARTIAL_LOAD
RDG00000011,PLT001,2024-01-01 06:00:00,51.71,0.4909,9494.0,89.16,50.06,10.978,PARTIAL_LOAD
RDG00000012,PLT002,2024-01-01 06:00:00,25.64,0.2437,9506.0,82.71,49.94,11.198,PARTIAL_LOAD
RDG00000013,PLT003,2024-01-01 06:00:00,21.16,0.1992,9415.0,82.97,50.0,10.953,PARTIAL_LOAD
RDG00000014,PLT004,2024-01-01 06:00:00,28.49,0.2687,9433.0,86.32,50.07,10.993,PARTIAL_LOAD
RDG00000015,PLT005,2024-01-01 06:00:00,28.86,0.2789,9663.0,90.19,49.98,10.996,PARTIAL_LOAD
RDG00000016,PLT001,2024-01-01 09:00:00,54.88,0.52,9475.0,94.62,49.97,11.095,PARTIAL_LOAD
RDG00000017,PLT002,2024-01-01 09:00:00,30.01,0.2723,9075.0,96.81,50.0,10.963,FULL_LOAD
RDG00000018,PLT003,2024-01-01 09:00:00,23.61,0.2277,9645.0,92.59,49.96,10.921,PARTIAL_LOAD
RDG00000019,PLT004,2024-01-01 09:00:00,30.91,0.2995,9690.0,93.68,50.14,10.878,PARTIAL_LOAD
RDG00000020,PLT005,2024-01-01 09:00:00,29.81,0.2759,9256.0,93.15,50.02,10.946,PARTIAL_LOAD
RDG00000021,PLT001,2024-01-01 12:00:00,55.79,0.5307,9512.0,96.19,49.8,11.142,FULL_LOAD
RDG00000022,PLT002,2024-01-01 12:00:00,30.88,0.3004,9727.0,99.61,50.06,11.175,FULL_LOAD
RDG00000023,PLT003,2024-01-01 12:00:00,25.35,0.2382,9398.0,99.43,49.97,10.914,FULL_LOAD
RDG00000024,PLT004,2024-01-01 12:00:00,33.0,0.3159,9573.0,100.0,50.13,11.151,FULL_LOAD
RDG00000025,PLT005,2024-01-01 12:00:00,31.98,0.2965,9270.0,99.94,50.03,10.95,FULL_LOAD
RDG00000026,PLT001,2024-01-01 15:00:00,55.3,0.5315,9612.0,95.35,49.85,10.781,FULL_LOAD
RDG00000027,PLT002,2024-01-01 15:00:00,30.51,0.2882,9446.0,98.43,49.99,10.97,FULL_LOAD
RDG00000028,PLT003,2024-01-01 15:00:00,24.47,0.2342,9569.0,95.97,49.98,11.035,FULL_LOAD
RDG00000029,PLT004,2024-01-01 15:00:00,31.27,0.2983,9541.0,94.76,49.83,11.214,PARTIAL_LOAD
RDG00000030,PLT005,2024-01-01 15:00:00,30.24,0.2932,9696.0,94.48,50.0,11.223,PARTIAL_LOAD
RDG00000031,PLT001,2024-01-01 18:00:00,48.27,0.4527,9379.0,83.23,49.87,10.788,PARTIAL_LOAD
RDG00000032,PLT002,2024-01-01 18:00:00,26.95,0.2589,9608.0,86.93,50.11,10.762,PARTIAL_LOAD
RDG00000033,PLT003,2024-01-01 18:00:00,22.22,0.212,9543.0,87.13,50.0,10.933,PARTIAL_LOAD
RDG00000034,PLT004,2024-01-01 18:00:00,30.45,0.2782,9135.0,92.28,49.96,11.002,PARTIAL_LOAD
RDG00000035,PLT005,2024-01-01 18:00:00,29.04,0.2845,9797.0,90.77,49.94,11.207,PARTIAL_LOAD
RDG00000036,PLT001,2024-01-01 21:00:00,49.0,0.4676,9542.0,84.49,49.79,11.101,PARTIAL_LOAD
RDG00000037,PLT002,2024-01-01 21:00:00,25.15,0.2456,9764.0,81.13,50.03,10.986,PARTIAL_LOAD
RDG00000038,PLT003,2024-01-01 21:00:00,20.41,0.1915,9381.0,80.02,50.04,11.061,PARTIAL_LOAD
