alarm_id,plant_id,equipment_id,alarm_timestamp,alarm_code,alarm_short_name,alarm_description,severity,duration_minutes,resolved_timestamp,operator_id
ALM000001,PLT004,TRB005,2024-07-13 22:20:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,182,2024-07-14 01:22:00,OPR001
ALM000002,PLT005,TRB006,2024-10-31 01:54:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,270,2024-10-31 06:24:00,OPR008
ALM000003,PLT004,TRB005,2024-08-26 08:35:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,388,2024-08-26 15:03:00,OPR001
ALM000004,PLT001,GEN001,2024-10-22 01:33:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,11,2024-10-22 01:44:00,OPR001
ALM000005,PLT002,GEN003,2024-09-20 04:10:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,132,2024-09-20 06:22:00,OPR010
ALM000006,PLT001,TRB002,2024-03-08 15:17:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,464,2024-03-08 23:01:00,OPR010
ALM000007,PLT004,GEN005,2024-06-13 05:10:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,260,2024-06-13 09:30:00,OPR002
ALM000008,PLT003,GEN004,2024-06-10 12:11:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,429,2024-06-10 19:20:00,OPR011
ALM000009,PLT003,TRB004,2024-03-12 18:38:00,ALM008,VOLTAGE_DEVIATION,Grid voltage deviation ±5%,WARNING,163,2024-03-12 21:21:00,OPR012
ALM000010,PLT002,TRB003,2024-04-15 01:06:00,ALM005,OVERSPEED_TRIP,Turbine overspeed protection trip,CRITICAL,209,2024-04-15 04:35:00,OPR001
ALM000011,PLT003,TRB004,2024-04-27 23:55:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,8,2024-04-28 00:03:00,OPR006
ALM000012,PLT005,GEN006,2024-10-19 16:19:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,201,2024-10-19 19:40:00,OPR011
ALM000013,PLT005,GEN006,2024-08-22 13:01:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,191,2024-08-22 16:12:00,OPR001
ALM000014,PLT003,GEN004,2024-11-01 18:30:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,186,2024-11-01 21:36:00,OPR012
ALM000015,PLT002,TRB003,2024-09-29 16:49:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,322,2024-09-29 22:11:00,OPR011
ALM000016,PLT001,GEN001,2024-06-25 08:32:00,ALM001,HIGH_EXHAUST_TEMP,High exhaust gas temperature,WARNING,432,2024-06-25 15:44:00,OPR005
ALM000017,PLT004,GEN005,2024-10-24 02:44:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,430,2024-10-24 09:54:00,OPR009
ALM000018,PLT005,TRB006,2024-09-24 01:23:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,281,2024-09-24 06:04:00,OPR004
ALM000019,PLT001,GEN002,2024-10-05 04:43:00,ALM007,COMM_FAILURE,SCADA communication failure,INFO,14,2024-10-05 04:57:00,OPR001
ALM000020,PLT003,GEN004,2024-07-23 00:09:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,386,2024-07-23 06:35:00,OPR005
ALM000021,PLT003,TRB004,2024-02-17 15:45:00,ALM002,LOW_OIL_PRESSURE,Low lube oil pressure,CRITICAL,118,2024-02-17 17:43:00,OPR009
ALM000022,PLT003,GEN004,2024-08-18 08:15:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,367,2024-08-18 14:22:00,OPR012
ALM000023,PLT004,GEN005,2024-01-18 14:01:00,ALM006,GEN_HIGH_TEMP,Generator high temperature,WARNING,36,2024-01-18 14:37:00,OPR004
ALM000024,PLT003,TRB004,2024-04-26 10:46:00,ALM003,HIGH_VIBRATION,Excessive turbine vibration,WARNING,164,2024-04-26 13:30:00,OPR012
