delivery_id,plant_id,delivery_date,fuel_type,volume_mscf,unit_cost_usd_mscf,total_cost_usd,supplier,pipeline_segment
FUL00001,PLT001,2024-01-01,Natural Gas,1823.08,3.82,6964.18,Ghana National Gas Company,Prestea RMS
FUL00002,PLT002,2024-01-01,Natural Gas,1240.05,3.9786,4933.62,Ghana National Gas Company,Takoradi RMS
FUL00003,PLT003,2024-01-01,Natural Gas,1978.35,4.3414,8588.73,Ghana National Gas Company,Prestea RMS
FUL00004,PLT004,2024-01-01,Natural Gas,2227.49,3.8696,8619.39,Ghana National Gas Company,Takoradi RMS
FUL00005,PLT005,2024-01-01,Natural Gas,1475.07,3.8238,5640.43,Ghana National Gas Company,Prestea RMS
FUL00006,PLT001,2024-01-03,Natural Gas,1149.82,4.2043,4834.17,Ghana National Gas Company,Prestea RMS
FUL00007,PLT002,2024-01-03,Natural Gas,842.46,3.9591,3335.36,Ghana National Gas Company,Takoradi RMS
FUL00008,PLT003,2024-01-03,Natural Gas,1839.82,4.236,7793.39,Ghana National Gas Company,Prestea RMS
FUL00009,PLT004,2024-01-03,Natural Gas,1152.7,4.2714,4923.66,Ghana National Gas Company,Takoradi RMS
FUL00010,PLT005,2024-01-03,Natural Gas,2095.09,3.8052,7972.23,Ghana National Gas Company,Prestea RMS
FUL00011,PLT001,2024-01-05,Natural Gas,2089.31,4.3585,9106.28,Ghana National Gas Company,Prestea RMS
FUL00012,PLT002,2024-01-05,Natural Gas,1344.4,3.9244,5275.94,Ghana National Gas Company,Takoradi RMS
FUL00013,PLT003,2024-01-05,Natural Gas,2331.54,4.0693,9487.68,Ghana National Gas Company,Prestea RMS
FUL00014,PLT004,2024-01-05,Natural Gas,948.39,3.8774,3677.26,Ghana National Gas Company,Takoradi RMS
FUL00015,PLT005,2024-01-05,Natural Gas,2155.99,4.283,9234.06,Ghana National Gas Company,Prestea RMS
FUL00016,PLT001,2024-01-07,Natural Gas,2091.41,4.3838,9168.29,Ghana National Gas Company,Prestea RMS
FUL00017,PLT002,2024-01-07,Natural Gas,1657.96,4.5785,7590.96,Ghana National Gas Company,Takoradi RMS
FUL00018,PLT003,2024-01-07,Natural Gas,1405.66,4.2416,5962.29,Ghana National Gas Company,Prestea RMS
FUL00019,PLT004,2024-01-07,Natural Gas,2127.05,4.2948,9135.29,Ghana National Gas Company,Takoradi RMS
FUL00020,PLT005,2024-01-07,Natural Gas,2178.73,4.2619,9285.49,Ghana National Gas Company,Prestea RMS
FUL00021,PLT001,2024-01-09,Natural Gas,1927.31,3.8367,7394.43,Ghana National Gas Company,Prestea RMS
FUL00022,PLT002,2024-01-09,Natural Gas,1164.64,4.0315,4695.26,Ghana National Gas Company,Takoradi RMS
FUL00023,PLT003,2024-01-09,Natural Gas,927.67,3.9862,3697.91,Ghana National Gas Company,Prestea RMS
FUL00024,PLT004,2024-01-09,Natural Gas,961.6,4.0224,3867.92,Ghana National Gas Company,Takoradi RMS
FUL00025,PLT005,2024-01-09,Natural Gas,1817.1,4.0919,7435.33,Ghana National Gas Company,Prestea RMS
FUL00026,PLT001,2024-01-11,Natural Gas,1392.29,3.9676,5524.06,Ghana National Gas Company,Prestea RMS
FUL00027,PLT002,2024-01-11,Natural Gas,1227.16,4.5493,5582.75,Ghana National Gas Company,Takoradi RMS
FUL00028,PLT003,2024-01-11,Natural Gas,1836.86,4.2873,7875.18,Ghana National Gas Company,Prestea RMS
FUL00029,PLT004,2024-01-11,Natural Gas,1073.82,4.3833,4706.88,Ghana National Gas Company,Takoradi RMS
FUL00030,PLT005,2024-01-11,Natural Gas,1061.44,4.1036,4355.69,Ghana National Gas Company,Prestea RMS
FUL00031,PLT001,2024-01-13,Natural Gas,2383.24,4.312,10276.53,Ghana National Gas Company,Prestea RMS
FUL00032,PLT002,2024-01-13,Natural Gas,1691.12,4.3477,7352.47,Ghana National Gas Company,Takoradi RMS
FUL00033,PLT003,2024-01-13,Natural Gas,2148.56,4.4208,9498.35,Ghana National Gas Company,Prestea RMS
FUL00034,PLT004,2024-01-13,Natural Gas,1166.48,3.8257,4462.58,Ghana National Gas Company,Takoradi RMS
FUL00035,PLT005,2024-01-13,Natural Gas,1304.72,4.0142,5237.4,Ghana National Gas Company,Prestea RMS
FUL00036,PLT001,2024-01-15,Natural Gas,1137.57,4.5543,5180.87,Ghana National Gas Company,Prestea RMS
FUL00037,PLT002,2024-01-15,Natural Gas,2202.19,4.0517,8922.71,Ghana National Gas Company,Takoradi RMS
FUL00038,PLT003,2024-01-15,Natural Gas,1848.7,4.1165,7610.18,Ghana National Gas Company,Prestea RMS
FUL00039,PLT004,2024-01-15,Natural Gas,2263.28,4.1671,9431.27,Ghana National Gas Company,Takoradi RMS
FUL00040,PLT005,2024-01-15,Natural Gas,1223.81,3.9973,4891.94,Ghana National Gas Company,Prestea RMS
FUL00041,PLT001,2024-01-17,Natural Gas,1698.19,4.0102,6810.07,Ghana National Gas Company,Prestea RMS
FUL00042,PLT002,2024-01-17,Natural Gas,1735.34,4.5183,7840.71,Ghana National Gas Company,Takoradi RMS
FUL00043,PLT003,2024-01-17,Natural Gas,1439.04,3.9755,5720.84,Ghana National Gas Company,Prestea RMS
FUL00044,PLT004,2024-01-17,Natural Gas,2396.06,4.2076,10081.71,Ghana National Gas Company,Takoradi RMS
FUL00045,PLT005,2024-01-17,Natural Gas,945.46,3.8377,3628.39,Ghana National Gas Company,Prestea RMS
FUL00046,PLT001,2024-01-19,Natural Gas,975.44,4.302,4196.3,Ghana National Gas Company,Prestea RMS
FUL00047,PLT002,2024-01-19,Natural Gas,2067.33,4.1377,8554.05,Ghana National Gas Company,Takoradi RMS
FUL00048,PLT003,2024-01-19,Natural Gas,901.64,4.1053,3701.5,Ghana National Gas Company,Prestea RMS
FUL00049,PLT004,2024-01-19,Natural Gas,2393.79,4.2233,10109.67,Ghana National Gas Company,Takoradi RMS
FUL00050,PLT005,2024-01-19,Natural Gas,2353.73,4.4886,10565.01,Ghana National Gas Company,Prestea RMS
FUL00051,PLT001,2024-01-21,Natural Gas,818.37,4.3766,3581.66,Ghana National Gas Company,Prestea RMS
FUL00052,PLT002,2024-01-21,Natural Gas,1890.74,4.2296,7997.03,Ghana National Gas Company,Takoradi RMS
FUL00053,PLT003,2024-01-21,Natural Gas,1226.92,4.3128,5291.42,Ghana National Gas Company,Prestea RMS
FUL00054,PLT004,2024-01-21,Natural Gas,978.48,4.1478,4058.55,Ghana National Gas Company,Takoradi RMS
